,Actual size,Exposure,Maintenance fees,Age of building,Outdoor space,Locker,Property type:,Area:,Parking,Bed,Studio,Bath,Den
450,1055,3,791.54,17,3,4,1,118,0,2,0,2,0
451,1240,9,831.18,28,3,0,1,80,1,2,0,2,0
452,796,6,1024.04,28,2,4,1,107,1,1,0,1,1
453,2794,6,2241.05,5,4,4,1,91,3,2,0,3,1
454,1036,7,816.12,15,2,4,1,43,2,1,0,2,1
455,952,0,806.33,34,3,2,1,0,1,2,0,2,0
456,1543,6,1170,7,4,4,1,23,1,3,0,3,0
457,705,6,363.09,7,3,4,1,37,0,1,0,1,1
458,740,6,525.1,7,3,3,0,39,0,2,0,2,0
459,1230,2,548,49,3,3,1,80,0,3,0,2,0
460,645,9,495.63,2,3,3,1,21,0,1,0,1,1
461,1010,2,524.53,18,4,3,2,128,0,2,0,2,0
462,925,8,747.61,19,4,2,1,106,0,2,0,2,0
463,325,9,243.8,5,2,3,1,7,0,,1,1,0
464,463,2,331.46,3,3,4,1,76,0,1,0,1,0
465,601,2,423.43,4,4,4,1,91,0,1,0,1,0
466,962,0,558.26,47,3,3,1,105,1,2,0,1,0
467,2188,9,1018,15,2,3,2,16,0,3,0,5,0
468,1974,7,1502.85,6,3,4,1,129,2,2,0,3,1
469,871,8,611.23,4,3,4,1,30,0,2,0,2,0
470,620,3,545.27,5,3,3,1,81,1,1,0,2,1
471,619,6,476.3,8,3,4,1,68,1,1,0,1,0
472,589,0,375,21,3,2,1,81,0,1,0,1,0
473,949,9,734.29,14,2,4,1,110,0,2,0,2,0
474,637,6,501.79,1,3,4,1,21,0,1,0,2,1
475,920,7,725.59,10,3,3,1,124,1,2,0,2,0
476,726,9,412.26,13,1,4,1,61,0,1,0,1,0
477,495,2,439.05,5,3,4,1,24,0,1,0,1,0
478,622,8,455.63,6,3,4,1,61,0,1,0,1,1
479,1162,6,649,21,3,4,1,91,1,2,0,1,1
480,925,5,732.57,43,3,3,1,29,0,2,0,1,0
481,565,2,475.35,4,2,4,1,126,0,1,0,1,0
482,622,2,514.2,7,4,4,1,23,0,1,0,1,1
483,1928,0,1417.23,5,4,4,2,108,0,2,0,3,1
484,671,0,560.59,7,3,4,1,98,0,2,0,1,0
485,435,0,329.41,3,3,3,1,21,0,1,0,1,0
486,656,9,452.8,11,1,4,1,102,0,1,0,1,1
487,1550,6,1246.06,7,4,4,0,23,2,2,0,2,1
488,767,6,557.71,7,3,4,1,67,0,1,0,1,1
489,650,9,462.47,6,3,4,1,102,0,1,0,2,1
490,1004,9,320.35,49,4,3,1,127,1,2,0,2,0
491,748,7,930.75,28,2,4,1,107,0,1,0,1,1
492,1399,3,1057.81,40,2,1,1,114,1,3,0,2,1
493,725,6,581.81,21,1,4,0,91,0,1,0,1,0
494,688,9,521.25,2,3,4,1,61,0,2,0,2,0
495,419,3,335.25,3,2,4,1,24,0,1,0,1,0
496,750,3,483.63,21,1,4,1,102,0,2,0,1,0
497,883,2,867.44,14,3,4,1,107,0,2,0,2,0
498,955,7,728.88,17,3,4,1,65,1,2,0,2,0
499,818,0,516.64,33,2,3,1,103,1,1,0,1,1
500,1146,7,1085.78,44,3,0,1,48,1,3,0,2,0
501,712,9,682.05,14,3,3,1,107,1,1,0,1,1
502,778,3,810.36,16,3,2,1,124,1,1,0,2,1
503,829,0,727.5,10,3,4,1,92,1,2,0,2,0
504,989,7,893.3,10,3,4,1,76,0,2,0,2,1
505,685,8,440.54,11,3,4,1,5,0,1,0,1,1
506,630,2,550,17,3,3,1,118,1,1,0,1,1
507,687,9,540.82,6,3,1,1,8,0,1,0,1,1
508,922,8,658.86,16,3,4,1,57,0,1,0,1,1
509,638,6,615.84,10,3,4,1,47,0,1,0,1,1
510,519,9,387.94,7,0,3,1,61,0,1,0,1,0
511,685,9,550,17,3,2,1,118,0,1,0,1,1
512,520,6,427.98,17,3,4,1,118,1,1,0,1,0
513,845,6,547.48,21,3,3,1,27,0,1,0,1,1
514,1078,6,576.63,44,3,3,1,1,1,2,0,1,0
515,533,9,314.59,0,3,4,1,92,0,1,0,1,1
516,640,8,440.54,10,3,3,1,12,1,1,0,1,1
517,529,5,379.13,6,3,4,1,99,0,1,0,1,0
518,1125,7,1257.52,38,2,2,1,102,0,1,0,1,1
519,625,9,462.26,10,3,3,1,28,0,1,0,1,0
520,1293,9,1302.76,21,1,4,1,91,2,2,0,2,1
521,796,8,505,34,2,2,1,108,0,2,0,1,0
522,748,5,643.73,18,3,4,1,95,0,2,0,2,0
523,789,5,511.05,12,2,4,1,118,0,1,0,2,1
524,555,8,384.15,6,3,4,1,76,1,1,0,1,0
525,815,0,559.61,29,2,3,1,121,0,1,0,1,1
526,380,0,286.5,1,0,3,1,81,0,,1,1,0
527,470,6,414,2,0,4,1,128,0,1,0,1,0
528,600,0,421.5,2.5,1,3,1,1,0,1,0,1,1
529,308,7,253.86,5,1,4,1,107,0,,1,1,0
530,490,0,474,1,3,4,1,68,1,1,0,1,0
531,998,5,720,16,3,4,1,104,0,2,0,2,0
532,1007,2,655.21,31,3,1,1,46,0,2,0,2,0
533,603,9,572.93,13,3,4,1,81,0,1,0,1,1
534,808,8,704.23,8,4,4,1,27,1,2,0,2,0
535,648,9,595.35,6,3,4,1,108,0,1,0,1,1
536,710,8,635.36,6,0,3,1,108,0,1,0,2,1
537,620,3,723.12,19,3,4,1,76,0,1,0,1,0
538,1050,6,847.26,36,2,3,1,61,0,2,0,2,2
539,909,0,951.45,13,3,4,1,119,2,2,0,2,1
540,1202,8,1056.92,38,3,2,1,51,1,2,0,2,0
541,944,8,926.65,14,3,4,1,107,1,2,0,2,0
542,1655,5,2627,7,4,4,1,124,0,1,0,2,1
543,1059,5,900.62,18,3,4,1,100,0,2,0,2,0
544,688,8,570,0,3,4,1,129,1,2,0,2,0
545,661,8,493,0,3,4,1,107,1,1,0,1,1
546,597,6,486.01,0,3,4,1,91,1,1,0,1,0
547,460,9,393.89,49,4,2,1,19,0,1,0,1,0
548,700,5,541.66,13,3,4,1,68,1,1,0,1,1
549,987,5,847.14,17,2,2,1,21,1,2,0,2,0
550,992,0,831.94,5,3,4,1,66,1,2,0,2,0
551,1090,5,800.02,44,3,3,1,35,1,2,0,2,1
552,1485,2,573.82,24,3,3,2,103,1,3,0,3,1
553,720,9,710.97,10,3,4,1,76,1,1,0,2,0
554,998,7,711.23,9,4,4,1,57,1,2,0,2,0
555,975,6,639.57,21,3,4,1,27,1,2,0,2,0
556,1052,6,264,10,4,3,2,120,1,2,0,2,1
557,653,2,456.16,8,3,3,1,43,1,1,0,1,1
558,584,9,368.09,1,3,4,1,81,0,1,0,1,1
559,705,6,554.78,1,3,4,1,81,1,2,0,2,0
560,815,6,703.45,18,3,4,1,57,1,2,0,2,0
561,2314,6,296.68,20,4,3,2,119,2,3,0,4,1
562,527,3,339,3,3,4,1,24,0,1,0,1,0
563,609,1,440.87,11,3,4,1,92,0,1,0,1,0
564,1075,3,691.52,11,3,4,1,43,1,2,0,2,1
565,590,0,354.38,12,3,4,1,108,0,1,0,1,0
566,1887,9,1366.56,19,4,4,1,118,2,2,0,3,1
567,932,8,689.95,0,3,4,0,108,0,3,0,2,1
568,824,7,701.14,32,1,4,1,77,1,2,0,2,0
569,622,6,468.52,5,2,3,1,61,0,1,0,1,0
570,432,0,342.89,6,3,4,1,7,0,,1,1,0
571,645,5,458.43,10,3,4,1,101,0,1,0,1,0
572,1170,6,951.2,18,3,4,1,95,1,2,0,2,0
573,711,6,569.09,11,3,4,1,92,1,1,0,2,1
574,680,9,641.66,6,3,4,0,108,1,1,0,1,1
575,573,9,490.51,49,3,1,1,19,0,1,0,1,0
576,1490,0,1255,44,3,3,1,64,3,3,0,2,0
577,1440,3,1051.43,3,4,4,0,124,0,2,0,2,1
578,727,8,621.84,6,3,3,1,119,1,2,0,2,0
579,1216,2,754,6,3,4,1,43,0,3,0,2,0
580,1316,6,713.63,43,2,1,1,114,0,2,0,1,1
581,949,0,650.84,22,2,3,1,21,0,1,0,1,1
582,703,7,532.52,8,3,4,1,76,0,2,0,2,0
583,1600,7,1635.12,16,4,4,1,76,0,2,0,3,1
584,635,0,401.37,16,3,3,1,118,0,1,0,1,0
585,614,6,595,5,3,4,1,107,0,1,0,1,1
586,665,0,522.11,16,3,4,1,12,0,1,0,1,0
587,883,5,732.12,16,3,4,1,66,0,2,0,2,0
588,720,3,500.55,1,3,4,1,92,1,2,0,2,0
589,957,9,738.35,34,2,3,1,7,0,1,0,2,0
590,939,8,819.56,11,0,4,1,118,1,2,0,2,1
591,980,3,500.16,30,2,4,1,72,0,2,0,2,0
592,1186,5,812.36,12,3,4,1,22,1,2,0,2,1
593,626,6,487.31,7,3,4,1,118,0,1,0,1,1
594,903,7,736.02,31,2,3,1,24,0,1,0,2,1
595,509,8,414,2,0,4,0,81,0,1,0,1,1
596,688,7,571.15,0,3,4,1,129,0,2,0,2,0
597,910,0,736.48,19,4,4,2,118,0,2,0,2,1
598,1315,5,1133.28,17,3,4,1,118,0,3,0,2,0
599,505,2,374.07,5,3,3,1,107,0,1,0,1,1
600,593,3,413.27,7,4,3,1,8,0,1,0,1,0
601,804,9,1192.69,11,3,4,1,129,0,1,0,1,0
602,704,6,485.18,17,3,4,1,29,0,1,0,1,1
603,782,8,611.09,6,3,4,1,104,1,2,0,2,0
604,1126,0,433.55,13,3,3,2,118,1,2,0,3,0
605,1437,6,340,,0,3,2,70,0,2,0,2,1
606,858,8,889.82,4,3,4,1,20,0,2,0,2,0
607,931,0,791.82,21,3,2,1,118,0,2,0,2,1
608,1069,6,580.86,29,0,1,1,80,0,2,0,2,0
609,517,5,483.76,5,3,4,1,113,1,1,0,1,0
610,2308,8,4006,16,4,1,1,102,0,4,0,4,2
611,557,8,836.13,28,1,4,1,126,0,1,0,1,1
612,1655,1,1889.19,21,3,4,1,129,1,1,0,2,1
613,595,9,560.54,6,3,4,1,70,0,2,0,1,0
614,750,9,583.98,8,3,4,1,22,0,1,0,2,1
615,1768,7,1820,9,3,4,1,124,1,3,0,3,0
616,629,6,568.79,19,3,4,1,91,1,1,0,1,0
617,764,2,725.36,12,3,4,1,81,1,2,0,2,0
618,866,7,733.55,30,2,2,1,109,1,2,0,1,0
619,742,3,795.72,2,3,3,1,91,1,3,0,2,0
620,657,6,390.42,10,3,3,1,118,1,1,0,1,1
621,549,2,383.42,1,1,4,1,1,0,1,0,1,0
622,585,6,427.95,3,3,4,1,113,0,1,0,2,1
623,429,9,318.85,2,3,4,1,128,0,1,0,1,0
624,1148,5,945.97,31,2,2,1,7,0,2,0,2,1
625,601,0,399.16,4,0,1,0,61,1,1,0,1,1
626,1217,8,710,30,0,3,1,80,1,2,0,2,1
627,808,5,650.55,4,3,4,1,76,0,2,0,2,0
628,686,7,573.19,16,3,4,1,23,0,1,0,1,0
629,528,3,416.82,5,3,4,1,107,0,1,0,1,1
630,1341,9,1237.1,45,3,1,1,90,1,2,0,2,1
631,335,8,299.14,2,3,3,1,91,0,1,0,1,0
632,763,0,692.15,17,3,4,1,5,0,1,0,1,1
633,603,6,504.12,3,2,4,1,91,1,1,0,1,0
634,460,2,348.42,6,3,3,1,99,0,1,0,1,0
635,619,6,438.13,7,3,3,1,118,0,1,0,1,1
636,1012,9,869.59,50,3,3,1,39,1,2,0,1,0
637,797,9,539.54,12,3,3,1,108,0,2,0,2,0
638,2206,2,262,14,1,3,2,54,0,5,0,4,0
639,546,9,430.15,5,3,3,1,107,0,1,0,1,1
640,643,7,494.09,2,3,4,1,21,0,1,0,1,1
641,947,9,760.05,19,3,4,1,118,0,2,0,2,0
642,1129,9,746.16,33,2,3,1,57,1,2,0,2,1
643,1873,6,1673.19,41,4,1,1,62,0,3,0,2,0
644,463,9,400,8,3,4,1,49,0,1,0,1,0
645,912,9,801.81,30,2,4,1,109,0,2,0,2,0
646,486,7,535.08,30,2,4,1,108,0,,1,1,0
647,312,0,212.72,3,3,4,1,124,0,,1,1,0
648,845,9,680.57,16,3,4,1,65,0,2,0,2,0
649,660,8,526.01,3,3,4,1,76,0,1,0,1,1
650,973,2,757.73,32,3,2,1,77,0,2,0,2,0
651,499,7,406.18,16,2,4,1,121,0,1,0,1,0
652,850,0,661.94,2,4,4,1,108,1,2,0,2,1
653,1175,0,907.1,31,3,4,1,5,1,2,0,2,0
654,509,9,414.25,2,3,4,1,81,0,1,0,1,1
655,872,2,497.52,36,3,3,1,103,0,1,0,1,1
656,580,0,469.78,9,3,4,1,57,0,1,0,1,0
657,945,0,796.51,5,3,4,1,66,0,2,0,2,0
658,1005,8,577.36,44,3,1,1,64,0,1,0,1,1
659,925,0,781.31,2.5,4,4,1,47,2,2,0,2,1
660,775,2,671.58,18,3,4,1,57,0,1,0,2,1
661,851,9,494.01,47,3,1,1,105,0,2,0,1,0
662,606,7,696.43,2,3,4,1,91,0,2,0,1,0
663,641,7,524.18,14,3,3,1,43,1,1,0,1,1
664,634,6,565,7,3,4,1,92,1,1,0,1,1
665,796,7,489.18,18,3,4,1,37,0,1,0,1,1
666,2089,5,4666.5,5,3,4,1,129,2,2,0,3,0
667,1007,2,756.7,34,2,3,1,117,0,2,0,1,1
668,1093,9,669.21,50,3,1,1,49,0,2,0,2,1
669,692,8,696.81,13,3,4,1,119,0,1,0,1,1
670,615,0,374,13,3,4,1,113,0,1,0,1,0
671,1003,6,697.82,44,3,2,1,47,0,2,0,1,0
672,1160,6,688.34,49,3,2,1,29,0,2,0,1,0
673,485,7,391.57,8,3,3,1,49,0,1,0,1,0
674,1962,8,1694,11,4,4,1,124,2,2,0,3,1
675,909,8,557.25,6,3,4,1,124,1,2,0,2,0
676,3680,6,4019.2,13,4,4,1,124,2,2,0,3,0
677,800,0,663.68,12,4,0,1,20,1,1,0,1,1
678,1206,8,827.54,10,4,4,1,68,2,2,0,2,1
679,737,6,517.16,10,0,3,1,72,0,1,0,1,1
680,477,8,373.32,3,3,4,1,108,0,1,0,1,0
681,584,0,460,5,4,4,1,24,0,1,0,1,0
682,662,3,537.31,14,2,4,1,7,0,1,0,1,1
683,1115,8,852.23,25,2,4,1,83,1,1,0,2,1
684,1004,9,320.35,48,4,3,2,127,1,2,0,2,0
685,829,9,788.83,4,3,4,1,124,1,2,0,2,0
686,830,7,570.87,2,3,4,1,108,1,2,0,2,0
687,1356,6,950.21,18,4,4,1,102,1,2,0,2,1
688,640,9,260,1,2,3,1,21,0,1,0,1,0
689,1781,6,1359.65,4,4,4,2,91,2,3,0,3,1
690,704,2,591.55,6,2,4,1,122,0,2,0,2,0
691,1070,7,924.07,16,3,4,1,5,1,2,0,2,0
692,567,6,514.58,7,3,4,1,92,1,1,0,1,0
693,393,0,343.01,12,3,3,1,43,1,,1,1,0
694,1732,6,2931.82,7,3,4,1,124,2,2,0,2,0
695,744,0,696.81,20,3,4,1,102,0,1,0,1,0
696,1059,8,925.3,11,4,4,1,55,1,2,0,2,0
697,721,8,492,8,3,4,1,68,0,1,0,2,1
698,745,3,565.03,17,2,4,1,18,0,2,0,2,0
699,987,8,854.97,17,2,3,0,21,0,2,0,2,0
700,610,2,496.58,2,2,4,1,21,0,1,0,1,1
701,802,0,763.26,23,2,4,1,76,1,1,0,1,1
702,1236,0,904.8,43,3,1,1,28,0,2,0,2,0
703,655,3,494.78,8,3,4,1,47,1,1,0,1,1
704,651,2,618.04,14,3,2,1,107,0,1,0,1,1
705,1300,5,1080,45,3,2,1,89,0,3,0,2,0
706,405,0,347.51,4,3,3,1,21,0,,1,1,0
707,542,0,568.63,30,2,3,1,102,0,1,0,1,1
708,790,7,673.67,19,4,4,1,118,0,1,0,1,0
709,790,6,548.18,21,3,4,1,118,0,2,0,2,0
710,611,6,901.3,20,1,2,1,95,0,1,0,1,0
711,638,6,510.96,4,3,4,1,91,1,1,0,1,1
712,1365,6,1010,43,2,2,1,114,0,2,0,2,1
713,339,6,232.76,0,3,4,1,40,0,,1,1,0
714,1201,9,1237.71,1,1,4,1,95,2,2,0,2,0
715,1203,6,871.68,43,3,3,1,35,1,2,0,2,0
716,1897,3,2134.7,13,3,4,1,129,0,2,0,3,1
717,853,6,725.9,34,2,3,1,7,1,1,0,2,0
718,1063,0,940.72,45,1,3,1,108,0,1,0,1,0
719,483,9,365.21,6,4,4,1,91,0,1,0,1,0
720,967,9,747.83,14,2,4,1,110,1,2,0,2,0
721,467,2,265,1,3,4,1,21,0,1,0,1,0
722,750,3,776.52,16,3,4,1,76,0,2,0,2,0
723,520,6,381,21,3,4,1,102,0,,1,1,0
724,624,2,380.64,0,4,4,1,91,0,1,0,1,0
725,1265,9,708.26,21,3,4,1,8,0,2,0,2,1
726,1937,5,1578.96,26,4,4,1,50,2,2,0,2,0
727,602,9,521.66,3,3,3,1,102,1,1,0,1,0
728,531,2,394,0,3,4,1,45,0,1,0,1,0
729,1380,9,1069.75,31,2,4,1,5,0,2,0,2,0
730,1727,9,1617.26,4,3,4,1,124,2,2,0,3,1
731,1347,2,1132.25,36,2,1,1,119,2,2,0,2,1
732,739,0,598,11,3,4,1,22,0,2,0,2,1
733,1243,6,641.88,6,4,4,2,5,1,2,0,3,1
734,580,3,596.28,4,2,4,1,129,0,1,0,1,1
735,829,6,754.43,12,3,3,1,61,0,1,0,1,1
736,970,2,953.38,38,2,2,1,102,0,1,0,2,1
737,859,9,941.71,9,2,4,1,91,1,1,0,1,0
738,670,6,441.03,12,3,4,1,22,1,1,0,1,1
739,1350,6,522.5,19,4,3,2,43,0,2,0,3,0
740,657,2,554.1,19,3,3,1,61,0,1,0,1,1
741,678,0,506.21,16,3,4,1,118,1,1,0,1,1
742,1056,3,1041.51,24,1,2,0,21,0,2,0,2,0
743,835,8,649.89,9,3,4,1,57,0,2,0,2,0
744,805,6,888.47,16,3,4,1,21,0,2,0,2,1
745,579,0,454.59,5,1,2,1,107,0,1,0,1,1
746,468,2,322.29,6,3,4,1,125,0,,1,1,0
747,1056,3,781.52,24,2,4,1,121,0,2,0,2,1
748,691,0,418.37,1,3,4,1,121,0,1,0,2,1
749,838,9,529.46,11,2,4,1,61,0,1,0,1,1
750,841,9,663,8,3,3,1,22,1,2,0,2,0
751,755,7,619.4,11,3,4,1,68,0,2,0,1,0
752,1300,7,1080.98,45,3,2,1,89,2,2,0,2,1
753,590,8,443.78,8,3,4,1,76,1,1,0,1,1
754,650,7,678.73,10,3,4,1,76,2,1,0,1,1
755,3661,8,2800,0,3,4,1,129,4,2,0,3,2
756,665,2,673.8,30,2,2,1,4,0,1,0,1,1
757,1787,3,1384.39,0,3,4,1,129,2,2,0,3,1
758,1893,5,1453.28,0,3,4,1,129,2,2,0,3,1
759,1454,8,1850,35,2,2,1,95,1,2,0,2,0
760,1576,5,1627.05,35,1,2,1,104,2,2,0,2,1
761,470,3,307.16,1,3,3,1,102,0,1,0,1,0
762,491,6,426.31,5,3,3,1,125,0,1,0,1,0
763,630,2,423,12,3,4,1,61,1,1,0,1,0
764,582,9,345,8,3,3,1,61,0,1,0,1,1
765,1329,6,1202,15,3,2,1,33,0,2,0,2,0
766,720,9,375.81,18,2,4,2,128,0,2,0,1,0
767,933,6,596.89,18,3,4,1,38,0,2,0,2,0
768,661,2,520.83,7,3,3,1,61,0,1,0,1,1
769,751,5,591.53,12,1,4,1,27,0,1,0,1,1
770,980,7,811.48,15,2,4,1,7,1,2,0,2,0
771,660,7,365.54,7,3,3,1,37,1,1,0,1,1
772,810,6,561.52,19,3,4,1,61,1,1,0,1,1
773,633,2,573.3,11,0,4,1,124,0,1,0,1,1
774,1182,5,962.99,15,4,4,1,118,0,2,0,2,0
775,1088,2,854.39,44,3,3,1,64,0,2,0,2,1
776,720,8,709.96,10,3,4,0,76,1,1,0,2,0
777,463,2,261.93,6,3,3,1,61,0,,1,1,0
778,970,2,854.52,15,3,4,1,106,0,2,0,2,1
779,565,2,410.18,12,3,4,1,108,0,1,0,1,1
780,700,2,820.99,30,2,3,1,7,1,1,0,1,1
781,916,3,544.32,4,3,2,1,61,1,2,0,2,0
782,816,8,615.35,7,3,4,1,118,0,2,0,2,0
783,730,5,813,14,3,3,1,126,0,2,0,1,0
784,668,9,380.85,4,4,4,1,61,0,1,0,2,1
785,1505,3,1270.95,38,3,2,1,95,1,2,0,2,0
786,1161,6,1257.52,38,2,4,1,102,0,1,0,1,0
787,679,9,444.14,14,3,4,1,61,0,1,0,1,1
788,645,9,476.23,2,3,4,1,21,0,1,0,1,1
789,740,8,375.81,18,4,3,2,128,1,2,0,1,0
790,917,9,1136.15,21,3,4,1,103,1,2,0,2,0
791,312,0,267.43,1,3,4,0,19,0,,1,1,0
792,560,0,498.55,17,1,3,1,21,0,1,0,1,0
793,825,7,535.31,2,3,3,1,61,0,2,0,2,0
794,951,9,824.12,0,3,3,1,129,0,2,0,2,0
795,977,7,846.65,0,4,3,1,129,0,2,0,2,0
796,377,6,314.2,2,3,4,1,21,0,,1,1,0
797,645,6,621.62,7,3,3,1,27,1,1,0,1,1
798,1488,7,806.73,43,2,3,1,114,0,3,0,2,0
799,676,2,470.18,3,0,3,1,102,0,1,0,1,1
800,919,7,780,5,3,4,1,65,1,2,0,2,1
801,881,8,571.24,14,3,3,1,107,0,2,0,2,0
802,483,0,358.67,2,3,3,1,108,0,1,0,1,0
803,550,6,464.32,16,2,4,1,102,0,,1,1,0
804,1083,7,722.83,4,3,4,1,76,1,2,0,2,1
805,1241,0,750.98,9,4,4,0,61,0,2,0,2,0
806,452,3,372.77,1,0,4,1,19,0,1,0,1,0
807,1959,5,2196.95,9,4,3,1,91,2,2,0,3,1
808,660,8,562.31,9,3,4,1,8,1,1,0,1,1
809,503,0,398.3,5,3,4,1,107,0,1,0,1,0
810,675,9,599,4,3,4,1,102,0,1,0,1,1
811,1786,8,1190,0,4,4,1,24,1,3,0,3,0
812,656,3,428.5,2,3,4,1,102,0,1,0,1,1
813,1206,5,986.56,38,3,1,1,21,0,2,0,2,0
814,595,6,463.32,14,3,4,1,7,0,1,0,1,0
815,918,8,621.1,0,3,4,1,81,1,2,0,2,0
816,1281,3,932.14,20,4,2,1,95,1,2,0,2,0
817,1070,9,892.51,29,3,4,1,13,0,2,0,2,0
818,811,7,578.24,15,3,3,1,57,0,1,0,1,1
819,615,9,768.54,17,2,3,1,61,0,1,0,1,0
820,1232,0,1246.3,43,4,4,1,81,0,3,0,2,0
821,1552,8,990,0,4,4,1,24,0,2,0,2,0
822,708,6,505,5,3,2,1,107,0,2,0,2,0
823,918,8,807.16,18,3,4,1,108,0,2,0,2,0
824,1294,6,936.59,42,0,3,1,28,1,2,0,2,1
825,745,7,506.64,7,4,4,1,68,0,2,0,2,1
826,516,9,453.2,2,4,4,1,108,0,1,0,1,0
827,580,7,386.81,0,3,3,1,21,0,1,0,1,1
828,963,3,826.52,23,2,2,1,102,1,2,0,2,0
829,766,5,552.63,14,4,4,1,61,0,1,0,1,1
830,1008,7,741.97,11,3,4,1,127,0,2,0,2,1
831,1022,5,865,22,3,4,1,7,0,2,0,2,0
832,620,3,545.27,4,3,3,1,81,0,1,0,2,1
833,643,2,472.7,1,0,4,1,8,0,2,0,2,0
834,505,6,478.49,19,2,4,1,61,0,1,0,1,0
835,1192,0,863.21,30,2,4,1,35,0,3,0,2,1
836,907,7,579.11,6,2,4,1,124,1,2,0,2,0
837,724,3,530,17,2,4,1,121,0,2,0,1,0
838,1010,6,867.14,8,3,4,1,22,2,2,0,2,1
839,522,9,642,5,1,4,1,107,0,1,0,1,1
840,640,6,417.65,10,3,3,1,12,0,1,0,1,1
841,480,7,287.01,0,3,3,1,21,0,1,0,1,0
842,760,0,690.75,17,2,3,1,21,0,1,0,2,1
843,625,4,353.56,4,2,4,2,31,0,1,0,1,1
844,719,9,491.27,8,3,4,1,68,0,1,0,2,1
845,620,6,590,16,3,3,1,76,1,1,0,1,0
846,639,7,546.17,6,3,4,1,5,1,1,0,1,1
847,1937,8,1649.1,3,4,4,1,20,0,3,0,3,0
848,1030,9,812.61,15,2,4,1,43,2,2,0,2,1
849,1094,8,953.47,31,2,1,1,76,0,2,0,2,0
850,583,9,509.18,4,3,3,1,61,0,1,0,1,1
851,1139,3,1006.92,1,3,4,1,61,1,3,0,2,0
852,538,9,412.46,7,1,3,1,44,0,1,0,1,0
853,952,7,1107,9,3,2,1,124,1,2,0,2,0
854,2390,2,770,24,4,1,0,91,1,2,0,3,1
855,1167,6,644.36,44,4,3,1,1,0,3,0,2,1
856,440,2,287.55,1,3,3,1,102,0,1,0,1,0
857,486,7,535.08,,2,4,1,108,1,,1,1,0
858,1432,7,1161.71,8,3,4,1,22,0,2,0,3,0
859,1016,6,427.37,31,2,1,1,80,0,2,0,2,1
860,1733,9,1666.98,35,2,2,1,129,2,2,0,2,0
861,588,9,718,16,2,3,0,107,0,1,0,1,0
862,463,8,311.63,8,3,4,1,43,0,,1,1,0
863,1450,0,624,45,3,4,1,80,1,3,0,2,0
864,1059,2,863.94,31,2,4,1,10,0,2,0,2,0
865,588,0,369.09,3,3,3,1,124,0,1,0,1,1
866,626,9,539.92,9,2,4,1,92,0,1,0,2,1
867,882,2,993.13,33,2,2,1,129,0,1,0,1,1
868,542,2,550,3,3,3,1,55,0,1,0,1,0
869,485,6,421,13,3,2,1,129,0,,1,1,0
870,1462,1,909,23,4,3,2,95,1,2,0,2,1
871,561,9,404.88,3,3,4,1,81,0,1,0,1,1
872,1315,6,1255,39,3,2,1,129,1,2,0,3,0
873,733,0,581.82,11,0,4,1,76,1,1,0,1,1
874,468,5,322.29,6,3,4,1,125,0,,1,1,0
875,722,0,583,6,3,4,1,61,0,2,0,2,0
876,1450,9,1255,44,3,1,1,64,2,2,0,2,1
877,1367,5,1133.66,30,0,4,1,115,0,3,0,2,1
878,335,2,284,1,3,4,1,19,0,,1,1,0
879,825,8,730.37,6,3,4,1,129,0,2,0,2,0
880,677,9,499.96,4,4,3,1,91,0,2,0,1,0
881,648,2,520,,3,4,1,76,1,1,0,1,0
882,740,6,503,20,4,2,1,102,0,1,0,1,1
883,508,7,298.86,2,3,4,1,61,0,1,0,1,0
884,919,8,909.11,22,4,4,1,118,0,2,0,1,0
885,1200,7,1082.27,2,3,3,1,81,1,2,0,2,1
886,883,5,756.37,5,3,4,1,65,0,2,0,2,1
887,984,9,677.07,11,2,4,1,99,0,2,0,2,0
888,756,3,756.91,1,4,3,1,55,1,2,0,2,0
889,561,6,445.2,5,3,3,1,91,0,1,0,1,0
890,1774,7,1462.39,36,3,4,1,119,2,2,0,2,0
891,1277,9,980.56,22,2,1,1,21,0,2,0,2,0
892,903,4,665.54,5,3,4,0,95,1,2,0,2,0
893,882,7,585.04,1,3,3,1,102,0,3,0,2,0
894,600,6,501.56,10,2,4,1,43,0,1,0,1,1
895,1003,7,638.55,6,4,4,1,61,1,3,0,2,0
896,574,0,459,1,3,4,1,19,0,2,0,1,0
897,975,2,782.7,3,3,4,1,20,1,2,0,2,0
898,600,6,352.98,2,3,3,1,61,0,1,0,1,1
899,1257,0,842.25,12,3,4,1,5,2,2,0,3,0
900,550,2,570,4,2,3,1,129,0,1,0,1,1
901,485,9,313.45,0,3,3,1,108,0,1,0,1,0
902,1225,6,836.66,49,3,2,1,38,1,3,0,2,0
903,559,0,390.79,2,3,3,1,21,0,1,0,1,0
904,2207,7,4172.07,4,4,4,1,129,3,5,0,5,1
905,665,2,501.42,7,3,4,1,47,0,1,0,1,1
906,707,9,544.1,12,3,4,1,8,1,1,0,2,1
907,750,8,596.99,1,3,4,1,19,0,2,0,2,0
908,728,3,380.55,11,2,3,1,108,0,1,0,1,1
909,713,9,586.93,15,3,4,1,118,1,1,0,1,1
910,865,2,601.97,44,3,3,1,47,1,1,0,1,0
911,1219,0,523.75,15,4,3,2,114,1,3,0,2,0
912,572,5,547.31,0,3,4,1,45,0,1,0,1,0
